meta_id,source_row_ids,logical_status,source_count,periods,asset_ref_canonical,asset_refs_observed,filename_or_concepts,dates_observed,local_times_observed,formats_observed,metric_definitions_observed,metric_values_observed,reactions,comments,shares,metrics_consistent,inventory_id_candidates,cnt_id_status,sources_observed,notes
1036844829507460_122127929847072582,87,Unique_Logical_Publication,1,Junio_2026,260720,260720,Universe - Existencial 260720,2026-06-07,,Image,Reactions + comments + shares,5,3,1,1,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122127933531072582,88,Unique_Logical_Publication,1,Junio_2026,260721,260721,Universe - Existencial 260721,2026-06-07,,Image,Reactions + comments + shares,2,2,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122127936261072582,89,Unique_Logical_Publication,1,Junio_2026,260723,260723,Universe - Existencial 260723,2026-06-07,,Image,Reactions + comments + shares,0,0,0,0,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122127939543072582,41,Unique_Logical_Publication,1,Junio_2026,260724,260724,Universe - Existencial 260724.png,2026-06-07,2026-06-07T18:43:18-06:00,Imagen estática,Reacciones + comentarios + shares,32,25,1,6,Yes,CNT-068,Candidate_from_inventory_key,2026-08-14_Comparativo_Desempeno_Junio_Julio_Agosto_Datos.csv + visual match Top + Drive 06 Junio,One source row observed.
1036844829507460_122127942027072582,90,Unique_Logical_Publication,1,Junio_2026,260722,260722,Universe - Existencial 260722,2026-06-07,,Image,Reactions + comments + shares,12,10,1,1,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122127947685072582,91,Unique_Logical_Publication,1,Junio_2026,260725,260725,Universe - Existencial 260725,2026-06-07,,Image,Reactions + comments + shares,3,2,0,1,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122127964311072582,202,Unique_Logical_Publication,1,Junio_2026,260718,260718,Universe - Existencial 260718,2026-06-07,,Image,Reactions + comments + shares,2,1,1,0,Yes,,No_inventory_match,User validation of June review contact sheet + Meta photo object,One source row observed.
1036844829507460_122128156065072582,92,Unique_Logical_Publication,1,Junio_2026,260713,260713,Universe - Existencial 260713,2026-06-08,,Image,Reactions + comments + shares,8,7,0,1,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122128166019072582,93,Unique_Logical_Publication,1,Junio_2026,260726,260726,Universe - Existencial 260726,2026-06-08,,Image,Reactions + comments + shares,23,17,3,3,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122128190949072582,94,Unique_Logical_Publication,1,Junio_2026,260727,260727,Universe - Existencial 260727,2026-06-08,,Image,Reactions + comments + shares,15,10,0,5,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122128196421072582,95,Unique_Logical_Publication,1,Junio_2026,260728,260728,Universe - Existencial 260728,2026-06-08,,Image,Reactions + comments + shares,144,116,4,24,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
