Queue_ID,Priority_Rank,Tier,Meta_Post_ID,Meta_Reel_ID,Publication_UTC,Engagement,Meta_Caption,Drive_File_ID,Drive_File_Name,Drive_Folder_Path,Drive_Created_UTC,Drive_Modified_UTC,Drive_MimeType,Drive_Duration_ms,Date_Delta_Days,Filename_Token_Overlap,Triage_Score,Triage_Status,Decision_Status
RAQ-019,19,Tier_2,1036844829507460_122134055109072582,1339119487723234,2026-06-27T22:39:21+0000,9,Demagoga? 🤔 #universesentme #universo #podcast,1fB-lkJDO_BwmO99CnREcc2JK7uD5om0k,"ChatGPT Image Jun 27, 2026, 03_18_47 PM.png",Reels/Horoscopos,2026-06-27T20:18:47.384Z,2026-06-27T20:18:47.390Z,image/png,,0.1,,4.98,Date_Proximity_Only,Queued_For_Review
RAQ-019,19,Tier_2,1036844829507460_122134055109072582,1339119487723234,2026-06-27T22:39:21+0000,9,Demagoga? 🤔 #universesentme #universo #podcast,1HEpgyuh2DkGnGtjQIVtkaYeVwj9RFVNj,"ChatGPT Image Jun 27, 2026, 03_05_25 PM.png",Reels/Horoscopos,2026-06-27T20:05:25.747Z,2026-06-27T20:05:25.753Z,image/png,,0.11,,4.98,Date_Proximity_Only,Queued_For_Review
RAQ-019,19,Tier_2,1036844829507460_122134055109072582,1339119487723234,2026-06-27T22:39:21+0000,9,Demagoga? 🤔 #universesentme #universo #podcast,1hduudZ2UhqzrwFVoxs4gJryxPoBAVU1W,Wilfred_and_Elara_cosmic_radio_202606272110.mp4,Reels/Horoscopos,2026-06-28T02:10:18.055Z,2026-06-28T02:10:18.062Z,video/mp4,3999,0.15,,4.97,Date_Proximity_Only,Queued_For_Review
RAQ-020,20,Tier_2,1036844829507460_122117401743072582,1744643643181661,2026-05-01T20:52:44+0000,8,🫠🫠 #UniverseSentMe #vidareal,1HTTD4Qp-2jVtG9uq2dFJegp2Xf_1W5VX,UniverseSentMe OnAir.png,Reels/Horoscopos,2026-07-09T16:05:28.926Z,2026-07-09T16:05:28.932Z,image/png,,68.8,universesentme,10.0,Candidate_Visual_Review,Queued_For_Review
RAQ-021,21,Tier_2,1036844829507460_122117485311072582,1534052868320978,2026-05-02T16:48:12+0000,8,🤦‍♂️ #UniverseSentMe Sígueme para más contenido ✨,1HTTD4Qp-2jVtG9uq2dFJegp2Xf_1W5VX,UniverseSentMe OnAir.png,Reels/Horoscopos,2026-07-09T16:05:28.926Z,2026-07-09T16:05:28.932Z,image/png,,67.97,universesentme,10.0,Candidate_Visual_Review,Queued_For_Review
RAQ-022,22,Tier_2,1036844829507460_122127189117072582,1705119394138727,2026-06-05T16:17:27+0000,8,Ustedes ven el cielo? #skyporn #cloudporn #universesentme #rockstar #humoracido,1HTTD4Qp-2jVtG9uq2dFJegp2Xf_1W5VX,UniverseSentMe OnAir.png,Reels/Horoscopos,2026-07-09T16:05:28.926Z,2026-07-09T16:05:28.932Z,image/png,,33.99,universesentme,10.0,Candidate_Visual_Review,Queued_For_Review
RAQ-022,22,Tier_2,1036844829507460_122127189117072582,1705119394138727,2026-06-05T16:17:27+0000,8,Ustedes ven el cielo? #skyporn #cloudporn #universesentme #rockstar #humoracido,1tE84FJLyLNwqELa5E23_7Tn5dvDwN_WI,Wilfred realista haciendo una posion.mp4,Reels,2026-06-04T20:32:20.064Z,2026-07-31T05:07:43.303Z,video/mp4,7999,0.82,,4.84,Date_Proximity_Only,Queued_For_Review
RAQ-022,22,Tier_2,1036844829507460_122127189117072582,1705119394138727,2026-06-05T16:17:27+0000,8,Ustedes ven el cielo? #skyporn #cloudporn #universesentme #rockstar #humoracido,1S48ovdPe-5FFN49XBOjQsJfDx7B-XRR8,Universe sent me - 009.png,Reels/INSTAGRAM,2026-06-04T18:08:37.959Z,2026-06-04T18:08:37.959Z,image/png,,0.92,,4.82,Date_Proximity_Only,Queued_For_Review
RAQ-022,22,Tier_2,1036844829507460_122127189117072582,1705119394138727,2026-06-05T16:17:27+0000,8,Ustedes ven el cielo? #skyporn #cloudporn #universesentme #rockstar #humoracido,1fJxQoN4uTDdgjafd6NE6iWz0ZCG57QQW,Universe sent me - 010.png,Reels/INSTAGRAM,2026-06-06T15:34:02.484Z,2026-06-06T15:34:02.488Z,image/png,,0.97,,4.81,Date_Proximity_Only,Queued_For_Review
RAQ-022,22,Tier_2,1036844829507460_122127189117072582,1705119394138727,2026-06-05T16:17:27+0000,8,Ustedes ven el cielo? #skyporn #cloudporn #universesentme #rockstar #humoracido,1yrAwVTpf4dA3fQvdOd_BcfiG71J8cgwS,Universe sent me - 011.png,Reels/INSTAGRAM,2026-06-06T16:03:45.576Z,2026-06-06T16:03:45.583Z,image/png,,0.99,,4.8,Date_Proximity_Only,Queued_For_Review
RAQ-024,24,Tier_2,1036844829507460_122117592411072582,1007251918393654,2026-05-03T18:52:37+0000,7,🤪 #UniverseSentMe #NoMeArrepiento,1HTTD4Qp-2jVtG9uq2dFJegp2Xf_1W5VX,UniverseSentMe OnAir.png,Reels/Horoscopos,2026-07-09T16:05:28.926Z,2026-07-09T16:05:28.932Z,image/png,,66.88,universesentme,10.0,Candidate_Visual_Review,Queued_For_Review
RAQ-025,25,Tier_2,1036844829507460_122120676687072582,27101624546195211,2026-05-16T05:18:50+0000,7,,175XnmOVnBPgVCFlwyDWCZ3jCAmB2MOjO,Fantasma_tranquilo_con_viento_202605241629.mp4,Reels,2026-05-24T21:29:12.665Z,2026-05-24T21:29:12.673Z,video/mp4,7999,8.67,,3.27,Date_Proximity_Only,Queued_For_Review
RAQ-026,26,Tier_2,1036844829507460_122126302725072582,1720457499377113,2026-06-04T00:50:21+0000,7,,1hVE1ceCZc3QLeSZrxEPcd1iWiS3o7EN7,Universe sent me - 007.png,Reels/INSTAGRAM,2026-06-04T00:03:06.401Z,2026-06-04T00:03:06.405Z,image/png,,0.03,,4.99,Date_Proximity_Only,Queued_For_Review
RAQ-026,26,Tier_2,1036844829507460_122126302725072582,1720457499377113,2026-06-04T00:50:21+0000,7,,1C6kKzM5W7vOAirgPd3TTs3Uapt-fjGqf,Universe sent me - 008.png,Reels/INSTAGRAM,2026-06-04T00:05:34.108Z,2026-06-04T00:05:34.112Z,image/png,,0.03,,4.99,Date_Proximity_Only,Queued_For_Review
RAQ-026,26,Tier_2,1036844829507460_122126302725072582,1720457499377113,2026-06-04T00:50:21+0000,7,,1wD-cIUrlqcSCNJcuJtQlk64YZHLRUxDX,Universe sent me - 005.png,Reels/INSTAGRAM,2026-06-03T23:52:49.977Z,2026-06-03T23:52:49.992Z,image/png,,0.04,,4.99,Date_Proximity_Only,Queued_For_Review
RAQ-026,26,Tier_2,1036844829507460_122126302725072582,1720457499377113,2026-06-04T00:50:21+0000,7,,1ddNYoBaMUSBxgvvlewQ8ZW8eu092FjHm,Universe sent me - 006.png,Reels/INSTAGRAM,2026-06-03T23:58:07.032Z,2026-06-03T23:58:07.041Z,image/png,,0.04,,4.99,Date_Proximity_Only,Queued_For_Review
RAQ-026,26,Tier_2,1036844829507460_122126302725072582,1720457499377113,2026-06-04T00:50:21+0000,7,,12gK6J-SwKYMisEpSAV31DCJGl_mW2uZ_,Universe sent me - 004.png,Reels/INSTAGRAM,2026-06-03T23:33:37.880Z,2026-06-03T23:33:37.887Z,image/png,,0.05,,4.99,Date_Proximity_Only,Queued_For_Review
RAQ-027,27,Tier_2,1036844829507460_122130324285072582,983943094638387,2026-06-15T02:04:30+0000,7,No te tenías que pasar dr brg.. u.u,1HFzRgE6keLuzBsH7LXFGhVi-cRxiqEAq,1 - Fantasma_frozen_in_forest_202608051814.mp4,Reels/08 Agosto/CNT 015 - Fantasma - Viendo a la gente pasar en el bosque,2026-08-05T23:14:53.731Z,2026-08-05T23:14:53.733Z,video/mp4,3999,51.88,pasar,10.0,Candidate_Visual_Review,Queued_For_Review
RAQ-027,27,Tier_2,1036844829507460_122130324285072582,983943094638387,2026-06-15T02:04:30+0000,7,No te tenías que pasar dr brg.. u.u,1gMzgUTWj6pjSk1Ly302uu60oIec4pTs1,2 - Fantasma_and_couple_in_forest_202608051849.mp4,Reels/08 Agosto/CNT 015 - Fantasma - Viendo a la gente pasar en el bosque,2026-08-05T23:49:40.119Z,2026-08-05T23:49:40.142Z,video/mp4,5999,51.91,pasar,10.0,Candidate_Visual_Review,Queued_For_Review
RAQ-027,27,Tier_2,1036844829507460_122130324285072582,983943094638387,2026-06-15T02:04:30+0000,7,No te tenías que pasar dr brg.. u.u,1BCD-xZXdt3ZEfQUWmPJXBcwc4tPRfOjB,3 - Fantasma_face_with_sunglasses_dark_202608051851.mp4,Reels/08 Agosto/CNT 015 - Fantasma - Viendo a la gente pasar en el bosque,2026-08-05T23:51:00.368Z,2026-08-05T23:51:00.378Z,video/mp4,5999,51.91,pasar,10.0,Candidate_Visual_Review,Queued_For_Review
RAQ-027,27,Tier_2,1036844829507460_122130324285072582,983943094638387,2026-06-15T02:04:30+0000,7,No te tenías que pasar dr brg.. u.u,188pysIihyxZloBCq62C76fRU_njNkvhF,4 - Fantasma_hovering_over_autumn_leaves_202608051852.mp4,Reels/08 Agosto/CNT 015 - Fantasma - Viendo a la gente pasar en el bosque,2026-08-05T23:52:04.592Z,2026-08-05T23:52:04.608Z,video/mp4,5999,51.91,pasar,10.0,Candidate_Visual_Review,Queued_For_Review
RAQ-027,27,Tier_2,1036844829507460_122130324285072582,983943094638387,2026-06-15T02:04:30+0000,7,No te tenías que pasar dr brg.. u.u,1XsOR7zig7rFj5qZAFfvUWcNHRLAxd5TE,1 - Adapt_image_to_9_16_202608062114.jpeg,Reels/08 Agosto/CNT 015 - Fantasma - Viendo a la gente pasar en el bosque,2026-08-07T02:14:25.624Z,2026-08-07T02:14:25.627Z,image/jpeg,,53.01,pasar,10.0,Candidate_Visual_Review,Queued_For_Review
RAQ-028,28,Tier_2,1036844829507460_122126660835072582,1435807688312479,2026-06-04T19:16:07+0000,6,,1tE84FJLyLNwqELa5E23_7Tn5dvDwN_WI,Wilfred realista haciendo una posion.mp4,Reels,2026-06-04T20:32:20.064Z,2026-07-31T05:07:43.303Z,video/mp4,7999,0.05,,4.99,Date_Proximity_Only,Queued_For_Review
